cities,population
Sherman,"41,917"

Beverly,"41,816"

Woonsocket,"41,759"

Oakley,"41,714"

Westfield,"41,700"

Belleville,"41,649"

Leominster,"41,615"

Cedar Falls,"41,570"

Campbell,"41,544"

Manassas,"41,501"

Shelton,"41,397"

Findlay,"41,321"

La Quinta,"41,304"

Winter Haven,"41,280"

Huntsville,"41,277"

Buffalo Grove,"41,226"

Bartlett,"41,149"

Danville,"41,130"

Bremerton,"41,041"

Grove City,"41,022"

Puyallup,"41,001"

Maplewood,"40,918"

Shakopee,"40,893"

Wilkes-Barre,"40,806"

Fitchburg,"40,793"

Oviedo,"40,785"

Hutchinson,"40,772"

Greenacres,"40,719"

Hickory,"40,611"

Brighton,"40,562"

Apache Junction,"40,538"

San Gabriel,"40,514"

Covington,"40,455"

Crystal Lake,"40,421"

Gainesville,"40,359"

Weslaco,"40,358"

Calexico,"40,351"

Holyoke,"40,341"

La Puente,"40,322"

Hagerstown,"40,306"

Quincy,"40,303"

Lancaster,"40,280"

Bullhead City,"40,252"

Chelsea,"40,227"

Schertz,"40,092"

Hilton Head Island,"40,055"

Carol Stream,"39,989"

Sumter,"39,982"

Streamwood,"39,978"

Marlborough,"39,873"

Florence,"39,852"

Friendswood,"39,839"

Hallandale Beach,"39,831"

New Berlin,"39,740"

Westerville,"39,737"

Woburn,"39,701"

Romeoville,"39,632"

Spring Hill,"39,602"

Warren,"39,562"

Westfield,"39,493"

Duncanville,"39,487"

Norwich,"39,470"

Spanish Fork,"39,443"

Wentzville,"39,414"

Marion,"39,400"

Lancaster,"39,386"

Annapolis,"39,321"

Keizer,"39,315"

Culver City,"39,283"

Montclair,"39,276"

Delaware,"39,267"

Herriman,"39,224"

Lake Oswego,"39,196"

Queen Creek,"39,184"

Los Banos,"39,183"

Cape Girardeau,"39,151"

Germantown,"39,141"

Pacifica,"39,087"

Hurst,"39,051"

Indian Trail,"38,980"

Clovis,"38,962"

Northglenn,"38,928"

Milton,"38,924"

Newnan,"38,909"

Pleasant Grove,"38,845"

Wausau,"38,739"

Plant City,"38,714"

Roy,"38,595"

Royal Palm Beach,"38,592"

Wheeling,"38,562"

